,Unnamed: 0,k1,k2,k3,k4
150,150,9.789262393761543e-06,7.371628674716963e-05,3.4063012562063744e-05,0.0007802034409807
151,151,2.922470185789695e-07,5.2026634518199145e-05,3.9117265880273065e-05,0.0008002142469917
152,152,4.9348556131891854e-06,9.586877041188148e-05,3.926246179894597e-05,0.0003219307406756
153,153,4.926600641405637e-06,5.624305138659576e-05,5.545174379849762e-05,0.0002235774547174
154,154,7.174176738164208e-06,5.027902458405818e-05,5.9487007102076415e-05,0.0003005671262861
155,155,2.498555926533763e-06,9.339727678334188e-05,1.9692977976919053e-05,0.0001286175008738
156,156,7.749264391813843e-06,1.553122590198588e-05,5.4935570816219055e-05,0.0007864348611047
157,157,5.279154548763631e-06,3.79857667895742e-05,9.336870178943051e-05,0.000839935484025
158,158,6.4923852898079765e-06,4.266158423854337e-05,3.755964542603246e-05,0.0002385996413429
159,159,1.650665971927832e-06,8.97672800568889e-05,7.349118934102295e-05,0.0005210345948386
160,160,8.009828201822465e-07,3.728858734348127e-05,7.505589205574277e-05,0.000527107447689
161,161,1.284933460051384e-06,9.018196439428212e-05,7.317930861452235e-05,0.000248476526057
162,162,1.1835147348062136e-06,6.032827389254702e-05,3.85552577081083e-05,0.0003762883053323
163,163,3.383522763067592e-06,5.411915464655672e-06,5.425385675060012e-05,0.0007107102466349
164,164,1.8877534060655133e-06,4.1713435456003096e-05,7.618405983996149e-05,0.000736098603251
165,165,6.252739968532898e-06,2.652113038617853e-05,5.85028417216339e-05,0.000232920762163
166,166,6.903073887944735e-06,2.9360780128574757e-05,1.6385497591460626e-05,0.0007176714921621
167,167,2.4505355067828057e-06,7.771791129199578e-05,3.629473916773483e-05,0.0003850362701378
168,168,2.192619668938857e-06,9.885808811027352e-05,7.62901537837245e-05,0.0004489794617925
169,169,2.31990697663732e-06,4.994856371255654e-05,7.117330136548471e-05,0.0002987001798675
170,170,5.72107979493415e-06,1.7985231798149222e-05,5.277250355500925e-05,0.0007590983551921
171,171,4.346145106677834e-06,5.313963922571176e-05,4.341776541229768e-05,0.0002330382970035
172,172,9.628106180565674e-06,4.382048816533098e-05,1.957718163153546e-05,0.0007610771957755
173,173,8.806802669848502e-06,6.287529689955233e-05,9.262055658875976e-05,0.0008334200540776
174,174,1.4584556996567783e-06,3.795476863418904e-05,1.3422911739064271e-05,0.0005806747536461
175,175,6.576022800700513e-06,6.467751661608222e-05,3.58300677357164e-05,0.0001161276107853
176,176,7.468275348359022e-06,6.161486910942205e-05,7.199648700646211e-05,0.0003952258069803
177,177,3.900066754219565e-06,2.4476053134322897e-05,4.12424965364534e-05,0.0004314898044742
178,178,4.921314073056291e-06,3.42653713610925e-05,3.116862983917312e-05,0.0001616376700088
179,179,1.913291100228832e-06,7.817182991771798e-05,9.39762798893973e-05,0.0007172365339767
180,180,5.766622521431866e-06,4.868395085364389e-05,7.757770609642314e-05,0.0006888052334447
181,181,5.254552157092365e-06,1.4400575657583926e-05,2.9359611570747387e-05,0.0008003640634746
182,182,8.037615592738825e-06,1.6986819754709626e-05,9.95213053481044e-05,0.0006617026036414
183,183,9.328775542578844e-06,7.374138429471684e-05,4.758275727240974e-05,0.0008425858921425
184,184,9.56044336432798e-06,1.748484318025639e-05,5.0366076549519306e-05,0.0003404709876554
185,185,5.5385816853338175e-06,1.1415058276206213e-05,5.7129538462693895e-05,0.0007739061441717
186,186,1.5084505162460026e-06,2.478157428017148e-05,3.61695327733386e-05,0.0003948191389132
187,187,3.287125197611485e-06,7.745040746628142e-05,1.9962931752215523e-05,0.0001626089617756
188,188,4.465388445209549e-06,5.483370900071726e-05,1.1948364070482291e-05,0.0005608803023798
189,189,7.09190987381615e-06,1.7446514281359244e-05,6.403779874648423e-05,0.00050609087178
190,190,5.3981918866792855e-06,6.129551290849393e-05,6.859279156528731e-05,0.0006363997140696
191,191,5.118868118444136e-07,7.544995997757786e-05,3.882269683918955e-05,0.0003507302827005
192,192,5.28901024943293e-07,2.633362071635244e-05,4.552308297090944e-05,0.0006569240792963
193,193,9.142862470554115e-06,2.3101796524850805e-05,5.4111577843273926e-05,0.0009229198008366
194,194,3.640918641052549e-06,2.105452532820648e-06,4.3335178874459655e-05,0.0008951878037299
195,195,8.800586088177669e-07,2.4069181764528053e-05,6.754953754910885e-05,0.0003708936689437
196,196,5.289316429890664e-06,7.15523693099782e-05,4.777621929053167e-05,0.0003703615426591
197,197,5.472212637804952e-06,5.311666335711988e-05,1.2147975919834006e-05,0.0002507361923935
198,198,5.799572641850882e-06,3.2527504147754505e-06,7.787790494792818e-05,0.000134041259126
199,199,4.661875789578992e-06,4.108484708211659e-05,3.797903395987852e-05,0.000609138880009
265,265,9.86814294167009e-06,4.551675719788326e-05,3.997644389208496e-05,0.0005499077005167
266,266,8.37972019805886e-06,5.630307217391446e-05,5.038410218922041e-05,0.0001628377146002
267,267,6.746282184319409e-06,2.3626081395995257e-05,9.556081805706875e-05,0.0007911874808893
268,268,2.327188232543188e-06,3.6414119460747617e-05,3.0969280783658295e-05,0.000389903449363
269,269,2.9776356700383105e-06,2.47623347159695e-05,5.237597850762088e-05,0.0006426659465891
270,270,4.845214675054118e-06,4.6088202274739145e-06,4.1000598592139554e-05,0.0008137790436178
271,271,5.580804742097748e-06,9.111861954666032e-05,8.337605076852595e-05,0.0009326747859656
272,272,3.6988133377926014e-06,8.733146070201836e-05,6.12373575449367e-05,0.0006715634858435
273,273,5.036786857019814e-06,3.4512081691035444e-05,9.269850676327052e-05,0.000865758119505
274,274,1.8633290016959996e-06,9.965653713474176e-05,9.266791219690104e-05,0.0007815155929831
275,275,5.858880532157355e-07,2.035485961061387e-05,9.52847910680972e-05,0.0006190795592491
276,276,5.449664339411125e-06,1.4545963815811463e-05,8.050683737637582e-05,0.000118364580047
277,277,9.820828698542856e-06,3.852777086058686e-05,9.1825072571427e-05,0.000984887370419
278,278,9.578837283068851e-06,1.7972166172111915e-06,5.301271613831638e-05,0.0008561659008348
279,279,3.126522749377924e-07,2.0621035339575356e-05,5.630464630880877e-05,0.0003551937278962
280,280,6.48531837653638e-07,3.5246420977672644e-05,3.634604319635792e-05,0.0008165435598195
281,281,3.317692248198279e-07,1.422671751131689e-05,2.0478060349353437e-05,0.0007384416901141
282,282,1.480298323734134e-07,4.217466837019643e-05,5.388913879503093e-05,0.0003836261945928
283,283,2.5614052810432755e-06,5.8105698279513645e-05,6.522308183707501e-05,0.0009230022458013
284,284,8.118891855218421e-06,2.6014976182245625e-05,7.394359597361393e-05,0.0002258092966006
285,285,3.027857815628479e-06,1.8291629289875863e-05,6.5689484298001e-05,0.0009044576720663
286,286,8.099143090530559e-06,8.8803118962922e-05,1.4909655729024552e-05,0.0002994770560203
